City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,26.05,50,75,3.09,CA,1691532253
1,vorgashor,67.5833,63.95,9.05,75,100,2.97,RU,1691532408
2,blackmans bay,-43.0167,147.3167,2.63,94,39,2.98,AU,1691532352
3,hermanus,-34.4187,19.2345,11.17,82,0,5.32,ZA,1691532355
4,yellowknife,62.456,-114.3525,20.87,46,3,7.6,CA,1691532524
5,atafu village,-8.5421,-172.5159,28.66,69,90,5.4,TK,1691532524
6,bilibino,68.0546,166.4372,4.58,64,100,2.89,RU,1691532525
7,waitangi,-43.9535,-176.5597,9.9,93,100,0.45,NZ,1691532525
8,glace bay,46.1969,-59.957,18.83,86,100,4.02,CA,1691532526
9,nova sintra,14.8667,-24.7167,22.62,74,46,6.29,CV,1691532256
10,west island,-12.1568,96.8225,24.99,83,40,4.12,CC,1691532233
11,plastun,44.7561,136.2939,17.45,85,100,1.37,RU,1691532527
12,saipan,15.1355,145.701,29.39,100,40,2.57,MP,1691532373
13,desaguadero,-16.5656,-69.0417,11.54,45,63,3.79,PE,1691532528
14,gaspe,48.8334,-64.4819,16.02,98,100,4.38,CA,1691532425
15,ushuaia,-54.8,-68.3,3.81,75,40,1.03,AR,1691532110
16,uturoa,-16.7333,-151.4333,26.01,77,99,3.07,PF,1691532359
17,adamstown,-25.066,-130.1015,22.34,87,92,15.35,PN,1691531783
18,mutuali,-14.8706,37.0044,15.7,72,6,1.6,MZ,1691532530
19,olonkinbyen,70.9221,-8.7187,4.59,92,100,7.48,SJ,1691532345
20,puerto ayora,-0.7393,-90.3518,28.98,84,58,3.58,EC,1691532353
21,carutapera,-1.195,-46.02,25.72,83,57,3.75,BR,1691532324
22,punta arenas,-53.15,-70.9167,1.56,85,88,2.23,CL,1691532138
23,afaahiti,-17.75,-149.2833,23.93,88,98,6.56,PF,1691532345
24,las tablas,7.7667,-80.2833,30.1,99,100,1.63,PA,1691532532
25,queenstown,-31.8976,26.8753,9.68,84,79,1.98,ZA,1691532378
26,port mathurin,-19.6833,63.4167,22.44,65,14,9.9,MU,1691532344
27,grytviken,-54.2811,-36.5092,-3.43,80,31,3.76,GS,1691532300
28,san antonio de pale,-1.4014,5.6325,23.7,77,2,5.58,GQ,1691532278
29,iskateley,67.6803,53.1512,9.52,74,87,0.67,RU,1691532352
30,sao joao da barra,-21.6403,-41.0511,23.05,88,15,7.29,BR,1691532344
31,stanley,54.868,-1.6985,12.62,73,0,5.14,GB,1691532363
32,shimoda,34.6667,138.95,26.17,87,95,3.43,JP,1691532236
33,mount isa,-20.7333,139.5,7.87,87,6,0.51,AU,1691532246
34,sur,22.5667,59.5289,30.76,58,3,5.01,OM,1691532347
35,alofi,-19.0595,-169.9187,27.94,83,40,4.12,NU,1691532353
36,puerto natales,-51.7236,-72.4875,1.64,99,100,0.92,CL,1691532137
37,mhamid,29.82,-5.72,37.49,10,44,4.96,MA,1691532537
38,eyl,7.9803,49.8164,24.59,79,15,11.13,SO,1691532313
39,sumbe,-11.2061,13.8437,19.56,93,1,2.74,AO,1691532538
40,gadzhiyevo,69.2551,33.3362,17.19,81,1,5.03,RU,1691532355
41,amahai,-3.3333,128.9167,24.23,87,40,3.87,ID,1691532539
42,franceville,-1.6333,13.5836,26.55,57,99,1.48,GA,1691532539
43,port-aux-francais,-49.35,70.2167,1.05,69,94,9.67,TF,1691532343
44,mount gambier,-37.8333,140.7667,6.6,69,0,4.83,AU,1691532418
45,san luis de la loma,17.2706,-100.8939,31.39,74,26,4.37,MX,1691532368
46,hadibu,12.65,54.0333,25.66,80,97,8.28,YE,1691532264
47,bethel,41.3712,-73.414,25.83,68,75,6.69,US,1691532250
48,prado,-17.3411,-39.2208,22.46,87,0,3.04,BR,1691532419
49,urucara,-2.5364,-57.76,31.71,41,87,0.6,BR,1691532322
50,anadyr,64.75,177.4833,10.28,81,75,7.6,RU,1691532299
